page,variant,cohort,gender,location,location_code,uid,audio,Maincategory,Subcategory,Pagetitle,Pagenumber
182,öi,jung,W,Büren,BE06,APFB,182_neu_öi_jung_W_Büren_BE06_APFB.wav,Lautung,Vokale,neu,182
188,ai,alt,W,Sarnen-Kägiswil,OW03,THZB,188_Augen_ai_alt_W_Sarnen-Kägiswil_OW03_THZB.wav,Lautung,Vokale,Augen,188
168,èè,alt,M,Bern,BE03,SCON,168_Schnee_èè_alt_M_Bern_BE03_SCON.wav,Lautung,Vokale,Schnee,168
334,es chunt ga rägne,jung,W,St Niklaus,VS08,EUGJ,334_Es kommt regnen_es chunt ga rägne_jung_W_St Niklaus_VS08_EUGJ.wav,Grammatik,Satzbau,Es kommt regnen,334
112,Buri,alt,W,Glarus,GL02,BDOI,112_Dutt_Buri_alt_W_Glarus_GL02_BDOI.wav,Wortschatz,Mensch,Dutt,112
182,ui,jung,W,Engelberg,OW01,HLFM,182_neu_ui_jung_W_Engelberg_OW01_HLFM.wav,Lautung,Vokale,neu,182
44,Haan,jung,W,Zermatt,VS11,YPWC,044_Hahn_Haan_jung_W_Zermatt_VS11_YPWC.wav,Wortschatz,Tier,Hahn,44
170,ii,jung,M,Bülach,ZH02,BLTF,170_Eis (Vokal)_ii_jung_M_Bülach_ZH02_BLTF.wav,Lautung,Vokale,Eis (Vokal),170
246,MAschine,alt,M,Blumenstein,BE05,WFQK,246_Maschine_MAschine_alt_M_Blumenstein_BE05_WFQK.wav,Lautung,Prosodie,Maschine,246
196,iä,alt,W,Unterschächen,UR03,ZPGU,196_Bruder_iä_alt_W_Unterschächen_UR03_ZPGU.wav,Lautung,Vokale,Bruder,196
104,Branchli,jung,M,Zermatt,VS11,ZEWN,104_Schoggistängeli_Branchli_jung_M_Zermatt_VS11_ZEWN.wav,,,,0
216,s,jung,W,Spreitenbach,AG09,KPHL,216_Eis (Konsonant)_s_jung_W_Spreitenbach_AG09_KPHL.wav,Lautung,Konsonanten,Eis (Konsonant),216
30,niit,jung,W,Meiringen,BE17,SNDV,030_nichts_niit_jung_W_Meiringen_BE17_SNDV.wav,Wortschatz,Häufige Wörter,nichts,30
82,Gütschi,jung,W,Hintere Linthal-Auen,GL01,MJKM,082_Apfelüberrest_Gütschi_jung_W_Hintere Linthal-Auen_GL01_MJKM.wav,,,,0
82,Chääre,jung,W,Salgesch,VS06,HFCS,082_Apfelüberrest_Chääre_jung_W_Salgesch_VS06_HFCS.wav,,,,0
30,nix,alt,M,Visp,VS10,NMUE,030_nichts_nix_alt_M_Visp_VS10_NMUE.wav,Wortschatz,Häufige Wörter,nichts,30
100,Bummeli,alt,W,Laufen,BL03,DJLC,100_Bonbon_Bummeli_alt_W_Laufen_BL03_DJLC.wav,Wortschatz,Essen und Trinken,Bonbon,100
32,öppis,jung,M,Huttwil,BE11,ZGBL,032_etwas_öppis_jung_M_Huttwil_BE11_ZGBL.wav,Wortschatz,Häufige Wörter,etwas,32
76,Trucke,jung,W,Bosco-Gurin,TI01,FVIK,076_Schublade_Trucke_jung_W_Bosco-Gurin_TI01_FVIK.wav,Wortschatz,Haus und Garten,Schublade,76
212,ch,alt,W,Bülach,ZH02,BNAJ,212_Kind_ch_alt_W_Bülach_ZH02_BNAJ.wav,Lautung,Konsonanten,Kind,212
204,Schwoscht,alt,M,Thun,BE23,JXAT,204_Schwester_Schwoscht_alt_M_Thun_BE23_JXAT.wav,Lautung,Vokale,Schwester,204
196,ee,alt,W,Meiringen,BE17,XVXT,196_vier_ee_alt_W_Meiringen_BE17_XVXT.wav,,,,0
72,plampe,alt,M,Unterschächen,UR03,UDXP,072_schaukeln_plampe_alt_M_Unterschächen_UR03_UDXP.wav,Wortschatz,Haus und Garten,schaukeln,72
166,èè,jung,W,Bülach,ZH02,TPTK,166_Käse_èè_jung_W_Bülach_ZH02_TPTK.wav,,,,0
146,a,jung,W,Sumiswald,BE22,BLZL,146_Achse_a_jung_W_Sumiswald_BE22_BLZL.wav,Lautung,Vokale,Achse,146
100,(Zucker-)Bol(l)e,alt,M,Flawil,SG04,KRMJ,100_Bonbon_(Zucker-)Bol(l)e_alt_M_Flawil_SG04_KRMJ.wav,Wortschatz,Essen und Trinken,Bonbon,100
302,miini,jung,W,Stans-Oberdorf,NW01,LAOE,302_meine Cousine_miini_jung_W_Stans-Oberdorf_NW01_LAOE.wav,Grammatik,Pronomen,meine Cousine,302
44,Güggel,alt,M,Bülach,ZH02,AWQT,044_Hahn_Güggel_alt_M_Bülach_ZH02_AWQT.wav,Wortschatz,Tier,Hahn,44
30,nüt,jung,M,Basel,BS01,KEZZ,030_nichts_nüt_jung_M_Basel_BS01_KEZZ.wav,Wortschatz,Häufige Wörter,nichts,30
44,Güli,jung,M,Einsiedeln,SZ01,OFCF,044_Hahn_Güli_jung_M_Einsiedeln_SZ01_OFCF.wav,Wortschatz,Tier,Hahn,44
272,'kommst',alt,M,Ernen,VS02,OPGH,272_kommen-werden_'kommst'_alt_M_Ernen_VS02_OPGH.wav,Grammatik,Verb,kommen/werden,272
116,Pfnüsel,alt,M,Frauenfeld,TG04,HIGZ,116_Schnupfen_Pfnüsel_alt_M_Frauenfeld_TG04_HIGZ.wav,Wortschatz,Mensch,Schnupfen,116
330,(won i) bi(n) (es Chind) gsii,alt,W,Blatten,VS01,IDFP,330_gewesen bin_(won i) bi(n) (es Chind) gsii_alt_W_Blatten_VS01_IDFP.wav,Grammatik,Satzbau,gewesen bin,330
204,Schweschter,alt,W,Zweisimmen,BE25,JEAL,204_Schwester_Schweschter_alt_W_Zweisimmen_BE25_JEAL.wav,Lautung,Vokale,Schwester,204
72,schaukle,jung,M,Davos-Frauenkirch,GR03,DHAM,072_schaukeln_schaukle_jung_M_Davos-Frauenkirch_GR03_DHAM.wav,Wortschatz,Haus und Garten,schaukeln,72
100,Zuckerchügeli,alt,M,Einsiedeln,SZ01,KYSI,100_Bonbon_Zuckerchügeli_alt_M_Einsiedeln_SZ01_KYSI.wav,Wortschatz,Essen und Trinken,Bonbon,100
270,i(ch) chum(e) ... über,jung,M,Weinfelden,TG06,YNDU,270_bekommen_i(ch) chum(e) ... über_jung_M_Weinfelden_TG06_YNDU.wav,Grammatik,Verb,bekommen,270
328,la gaa laa,jung,M,Sursee,LU04,VWOO,328_gehen lassen_la gaa laa_jung_M_Sursee_LU04_VWOO.wav,Grammatik,Satzbau,gehen lassen,328
54,Bei(j)eli,jung,W,Langnau,BE15,LEGF,054_Biene_Bei(j)eli_jung_W_Langnau_BE15_LEGF.wav,Wortschatz,Tier,Biene,54
122,Puppe,jung,W,Igis,GR04,XAEL,122_Puppe_Puppe_jung_W_Igis_GR04_XAEL.wav,Wortschatz,Gesellschaft,Puppe,122
224,Himu,jung,W,Huttwil,BE11,OZSY,224_Himmel (l-Vokalisierung)_Himu_jung_W_Huttwil_BE11_OZSY.wav,Lautung,Konsonanten,Himmel (l-Vokalisierung),224
116,Schnüderi,alt,W,Rheinwald,GR10,CXYK,116_Schnupfen_Schnüderi_alt_W_Rheinwald_GR10_CXYK.wav,Wortschatz,Mensch,Schnupfen,116
232,nn,alt,W,Grabs,SG05,TIDA,232_finden_nn_alt_W_Grabs_SG05_TIDA.wav,Lautung,Konsonanten,finden,232
72,reizle,jung,M,Saanen-Gstaad,BE20,FALC,072_schaukeln_reizle_jung_M_Saanen-Gstaad_BE20_FALC.wav,Wortschatz,Haus und Garten,schaukeln,72
100,Tröps(li),alt,M,Luzern,LU02,EFKS,100_Bonbon_Tröps(li)_alt_M_Luzern_LU02_EFKS.wav,Wortschatz,Essen und Trinken,Bonbon,100
154,ì,jung,M,Vättis,SG11,BHBK,154_Schlitten_ì_jung_M_Vättis_SG11_BHBK.wav,Lautung,Vokale,Schlitten,154
82,Bitschgi,jung,M,Vättis,SG11,BHBK,082_Apfelüberrest_Bitschgi_jung_M_Vättis_SG11_BHBK.wav,,,,0
196,ue,jung,M,Düdingen,FR01,VSXG,196_Bruder_ue_jung_M_Düdingen_FR01_VSXG.wav,Lautung,Vokale,Bruder,196
100,Schigg,alt,W,Frick,AG04,TSAA,100_Bonbon_Schigg_alt_W_Frick_AG04_TSAA.wav,Wortschatz,Essen und Trinken,Bonbon,100
300,dir,alt,W,Düdingen,FR01,LOHZ,300_dich-dir_dir_alt_W_Düdingen_FR01_LOHZ.wav,Grammatik,Pronomen,dich/dir,300
256,chumä,alt,M,Zermatt,VS11,KOOG,256_ich komme_chumä_alt_M_Zermatt_VS11_KOOG.wav,Grammatik,Verb,ich komme,256
112,Wurgeli,alt,W,Unterschächen,UR03,ZPGU,112_Dutt_Wurgeli_alt_W_Unterschächen_UR03_ZPGU.wav,Wortschatz,Mensch,Dutt,112
176,ü,alt,M,Saanen-Gstaad,BE20,FRBT,176_Mäuse_ü_alt_M_Saanen-Gstaad_BE20_FRBT.wav,,,,0
150,è,alt,W,Fischingen,TG03,FPFX,150_Speck_è_alt_W_Fischingen_TG03_FPFX.wav,Lautung,Vokale,Speck,150
150,è,jung,W,Fischingen,TG03,VFKD,150_Speck_è_jung_W_Fischingen_TG03_VFKD.wav,Lautung,Vokale,Speck,150
184,Naase,alt,W,Gränichen,AG05,LVXL,184_Nase_Naase_alt_W_Gränichen_AG05_LVXL.wav,Lautung,Vokale,Nase,184
30,nünt,jung,M,Oberriet,SG07,EWCC,030_nichts_nünt_jung_M_Oberriet_SG07_EWCC.wav,Wortschatz,Häufige Wörter,nichts,30
84,Höibe(e)ri,jung,W,Marbach,LU03,AISI,084_Heidelbeere_Höibe(e)ri_jung_W_Marbach_LU03_AISI.wav,Wortschatz,Essen und Trinken,Heidelbeere,84
82,Grübschi,jung,M,Adelboden,BE02,FBWY,082_Apfelüberrest_Grübschi_jung_M_Adelboden_BE02_FBWY.wav,,,,0
182,üüw(w),alt,M,Saanen-Gstaad,BE20,FRBT,182_neu_üüw(w)_alt_M_Saanen-Gstaad_BE20_FRBT.wav,Lautung,Vokale,neu,182
188,ùù-oo,alt,M,Zweisimmen,BE25,TUSD,188_Augen_ùù-oo_alt_M_Zweisimmen_BE25_TUSD.wav,Lautung,Vokale,Augen,188
128,Müntschi,alt,W,Münchenbuchsee,BE18,FAHE,128_Kuss_Müntschi_alt_W_Münchenbuchsee_BE18_FAHE.wav,Wortschatz,Gesellschaft,Kuss,128
224,fouge,alt,W,Sumiswald,BE22,BBCP,224_folgen_fouge_alt_W_Sumiswald_BE22_BBCP.wav,Lautung,Konsonanten,folgen,224
334,es chunt cho rägne,jung,M,Bern,BE03,HFSV,334_Es kommt regnen_es chunt cho rägne_jung_M_Bern_BE03_HFSV.wav,Grammatik,Satzbau,Es kommt regnen,334
44,Güli,alt,M,Einsiedeln,SZ01,GAUD,044_Hahn_Güli_alt_M_Einsiedeln_SZ01_GAUD.wav,Wortschatz,Tier,Hahn,44
38,z,alt,M,Sumiswald,BE22,FXKN,038_in-zu_z_alt_M_Sumiswald_BE22_FXKN.wav,Wortschatz,Häufige Wörter,in/zu,38
354,"'Bitte, gern geschehen'",alt,M,Bülach,ZH02,AWQT,"354_Dankeserwiderung_'Bitte, gern geschehen'_alt_M_Bülach_ZH02_AWQT.wav",Sprache im Alltag,Höflichkeit,Dankeserwiderung,354
234,ng,jung,M,Konolfingen,BE13,CNCW,234_Hund_ng_jung_M_Konolfingen_BE13_CNCW.wav,Lautung,Konsonanten,Hund,234
214,hinteres-r,alt,M,Weinfelden,TG06,QNPX,214_Rad_hinteres-r_alt_M_Weinfelden_TG06_QNPX.wav,Lautung,Konsonanten,Rad,214
148,ä,jung,M,Langenthal,BE14,NUCN,148_Wespe_ä_jung_M_Langenthal_BE14_NUCN.wav,Lautung,Vokale,Wespe,148
122,Mousa,alt,M,Jaun,FR04,MRDQ,122_Puppe_Mousa_alt_M_Jaun_FR04_MRDQ.wav,Wortschatz,Gesellschaft,Puppe,122
78,Polstergruppe,alt,M,Frutigen,BE09,NPQC,078_Sofa_Polstergruppe_alt_M_Frutigen_BE09_NPQC.wav,Wortschatz,Haus und Garten,Sofa,78
196,ie,jung,M,Lungern,OW02,DOYR,196_Bruder_ie_jung_M_Lungern_OW02_DOYR.wav,Lautung,Vokale,Bruder,196
176,ui,alt,W,Engelberg,OW01,AGAO,176_Mäuse_ui_alt_W_Engelberg_OW01_AGAO.wav,,,,0
310,die,jung,W,Escholzmatt,LU91,GYBZ,310_Migros_die_jung_W_Escholzmatt_LU91_GYBZ.wav,Grammatik,Genuss,Migros,310
100,Bummeli,jung,W,Laufen,BL03,ROPY,100_Bonbon_Bummeli_jung_W_Laufen_BL03_ROPY.wav,Wortschatz,Essen und Trinken,Bonbon,100
196,ìe,jung,M,Obersaxen,GR05,BYRJ,196_vier_ìe_jung_M_Obersaxen_GR05_BYRJ.wav,,,,0
232,n,alt,W,Düdingen,FR01,LOHZ,232_finden_n_alt_W_Düdingen_FR01_LOHZ.wav,Lautung,Konsonanten,finden,232
284,Hundeli,alt,W,Zweisimmen,BE25,JEAL,284_Hündchen_Hundeli_alt_W_Zweisimmen_BE25_JEAL.wav,Grammatik,Substantiv,Hündchen,284
146,á,jung,W,Wil,SG12,JCQC,146_Achse_á_jung_W_Wil_SG12_JCQC.wav,Lautung,Vokale,Achse,146
196,ua,alt,W,Churwalden,GR02,IKIA,196_Bruder_ua_alt_W_Churwalden_GR02_IKIA.wav,Lautung,Vokale,Bruder,196
72,gireiz(l)e,jung,M,Bülach,ZH02,HPNB,072_schaukeln_gireiz(l)e_jung_M_Bülach_ZH02_HPNB.wav,Wortschatz,Haus und Garten,schaukeln,72
286,Bärnere,jung,M,Bern,BE03,HFSV,286_Bernerin_Bärnere_jung_M_Bern_BE03_HFSV.wav,Grammatik,Substantiv,Bernerin,286
338,Tschau,jung,W,Bosco-Gurin,TI01,MCMB,338_Grussformeln (morgens)_Tschau_jung_W_Bosco-Gurin_TI01_MCMB.wav,Sprache im Alltag,Grussformeln,Grussformeln (morgens),338
88,Böle,alt,W,Igis,GR04,TGFZ,088_Zwiebel_Böle_alt_W_Igis_GR04_TGFZ.wav,Wortschatz,Essen und Trinken,Zwiebel,88
112,Gugel,alt,W,Mels,SG06,XNAU,112_Dutt_Gugel_alt_W_Mels_SG06_XNAU.wav,Wortschatz,Mensch,Dutt,112
112,Güpfi,jung,M,Oensingen,SO02,FJCF,112_Dutt_Güpfi_jung_M_Oensingen_SO02_FJCF.wav,Wortschatz,Mensch,Dutt,112
278,Bette,alt,M,Spreitenbach,AG09,JIQI,278_Bett Plural_Bette_alt_M_Spreitenbach_AG09_JIQI.wav,Grammatik,Substantiv,Bett Plural,278
328,la gaa laa,alt,M,Luzern,LU02,EFKS,328_gehen lassen_la gaa laa_alt_M_Luzern_LU02_EFKS.wav,Grammatik,Satzbau,gehen lassen,328
66,Gunte,alt,M,Altdorf,UR01,EVQN,066_Pfütze_Gunte_alt_M_Altdorf_UR01_EVQN.wav,Wortschatz,Haus und Garten,Pfütze,66
40,nach,alt,M,Plaffeien,FR06,PDLD,040_nach-auf_nach_alt_M_Plaffeien_FR06_PDLD.wav,Wortschatz,Häufige Wörter,nach/auf,40
88,Belle,jung,M,Bosco-Gurin,TI01,SSQE,088_Zwiebel_Belle_jung_M_Bosco-Gurin_TI01_SSQE.wav,Wortschatz,Essen und Trinken,Zwiebel,88
54,Biili,jung,W,Muotathal,SZ03,OASX,054_Biene_Biili_jung_W_Muotathal_SZ03_OASX.wav,Wortschatz,Tier,Biene,54
78,Ottomane,alt,M,Adelboden,BE02,BGTK,078_Sofa_Ottomane_alt_M_Adelboden_BE02_BGTK.wav,Wortschatz,Haus und Garten,Sofa,78
78,Ruebett(li),jung,W,Grindelwald,BE10,SDYX,078_Sofa_Ruebett(li)_jung_W_Grindelwald_BE10_SDYX.wav,Wortschatz,Haus und Garten,Sofa,78
176,ui,jung,W,Engelberg,OW01,HLFM,176_Mäuse_ui_jung_W_Engelberg_OW01_HLFM.wav,,,,0
28,daa,alt,W,Bülach,ZH02,NUHA,028_hier_daa_alt_W_Bülach_ZH02_NUHA.wav,Wortschatz,Häufige Wörter,hier,28
78,Kanapee,alt,M,Stans-Oberdorf,NW01,GHMK,078_Sofa_Kanapee_alt_M_Stans-Oberdorf_NW01_GHMK.wav,Wortschatz,Haus und Garten,Sofa,78
166,ee,alt,W,Zermatt,VS11,IJMG,166_Käse_ee_alt_W_Zermatt_VS11_IJMG.wav,,,,0
218,n,alt,W,Fischingen,TG03,FPFX,218_Tanne (Geminate)_n_alt_W_Fischingen_TG03_FPFX.wav,Lautung,Konsonanten,Tanne (Geminate),218
238,ii,alt,M,Grindelwald,BE10,RVPF,238_Zins_ii_alt_M_Grindelwald_BE10_RVPF.wav,Lautung,Konsonanten,Zins,238
72,schauggle,jung,W,Schmitten,GR07,OKWW,072_schaukeln_schauggle_jung_W_Schmitten_GR07_OKWW.wav,Wortschatz,Haus und Garten,schaukeln,72
338,Moin,jung,W,Grindelwald,BE10,SDYX,338_Grussformeln (morgens)_Moin_jung_W_Grindelwald_BE10_SDYX.wav,Sprache im Alltag,Grussformeln,Grussformeln (morgens),338
242,Phatrick,jung,W,Bauma-Saland,ZH01,BCVF,242_Patrick_Phatrick_jung_W_Bauma-Saland_ZH01_BCVF.wav,Lautung,Konsonanten,Patrick,242
146,a,alt,M,Sumiswald,BE22,EYLY,146_Achse_a_alt_M_Sumiswald_BE22_EYLY.wav,Lautung,Vokale,Achse,146
324,Patrick,jung,M,Interlaken-Unterseen,BE24,KKHV,324_(der) Patrick_Patrick_jung_M_Interlaken-Unterseen_BE24_KKHV.wav,Grammatik,Satzbau,(der) Patrick,324
92,Rööschti,alt,W,Schaffhausen,SH01,SPCF,092_Rösti_Rööschti_alt_W_Schaffhausen_SH01_SPCF.wav,Wortschatz,Essen und Trinken,Rösti,92
354,"'Bitte, gern geschehen'",jung,M,Davos-Frauenkirch,GR03,DHAM,"354_Dankeserwiderung_'Bitte, gern geschehen'_jung_M_Davos-Frauenkirch_GR03_DHAM.wav",Sprache im Alltag,Höflichkeit,Dankeserwiderung,354
242,Patrick,alt,M,Turtmann,VS09,OLBL,242_Patrick_Patrick_alt_M_Turtmann_VS09_OLBL.wav,Lautung,Konsonanten,Patrick,242
146,à,jung,W,Zürich,ZH07,GDJE,146_Achse_à_jung_W_Zürich_ZH07_GDJE.wav,Lautung,Vokale,Achse,146
338,Guete Morge(d),alt,W,Bülach,ZH02,BNAJ,338_Grussformeln (morgens)_Guete Morge(d)_alt_W_Bülach_ZH02_BNAJ.wav,Sprache im Alltag,Grussformeln,Grussformeln (morgens),338
82,Bitzgi,alt,M,Weinfelden,TG06,QNPX,082_Apfelüberrest_Bitzgi_alt_M_Weinfelden_TG06_QNPX.wav,,,,0
122,Titti,alt,M,Unterschächen,UR03,UDXP,122_Puppe_Titti_alt_M_Unterschächen_UR03_UDXP.wav,Wortschatz,Gesellschaft,Puppe,122
104,Schoggeli,alt,M,Plaffeien,FR06,PDLD,104_Schoggistängeli_Schoggeli_alt_M_Plaffeien_FR06_PDLD.wav,,,,0
256,chuma,jung,M,Davos-Frauenkirch,GR03,DHAM,256_ich komme_chuma_jung_M_Davos-Frauenkirch_GR03_DHAM.wav,Grammatik,Verb,ich komme,256
84,Beri,alt,M,Reckingen,VS04,DRXU,084_Heidelbeere_Beri_alt_M_Reckingen_VS04_DRXU.wav,Wortschatz,Essen und Trinken,Heidelbeere,84
82,Bäck,alt,M,Muotathal,SZ03,CGCE,082_Apfelüberrest_Bäck_alt_M_Muotathal_SZ03_CGCE.wav,,,,0
116,Schnüderi,jung,W,Escholzmatt,LU01,XPMD,116_Schnupfen_Schnüderi_jung_W_Escholzmatt_LU01_XPMD.wav,Wortschatz,Mensch,Schnupfen,116
98,die-Butter,jung,W,Flawil,SG04,BXDO,098_Butter_die-Butter_jung_W_Flawil_SG04_BXDO.wav,Wortschatz,Essen und Trinken,Butter,98
278,Bette,jung,M,Appenzell,AI01,VRST,278_Bett Plural_Bette_jung_M_Appenzell_AI01_VRST.wav,Grammatik,Substantiv,Bett Plural,278
182,öuw,alt,M,Obersaxen,GR05,IZSQ,182_neu_öuw_alt_M_Obersaxen_GR05_IZSQ.wav,Lautung,Vokale,neu,182
256,chume,jung,W,Sumiswald,BE22,BLZL,256_ich komme_chume_jung_W_Sumiswald_BE22_BLZL.wav,Grammatik,Verb,ich komme,256
344,Grüessech,alt,M,Solothurn,SO04,MAQI,344_Grussformeln (abends)_Grüessech_alt_M_Solothurn_SO04_MAQI.wav,Sprache im Alltag,Grussformeln,Grussformeln (abends),344
232,n,jung,W,Düdingen,FR01,VHUA,232_finden_n_jung_W_Düdingen_FR01_VHUA.wav,Lautung,Konsonanten,finden,232
218,n,jung,W,Fischingen,TG03,NMCH,218_Tanne (Geminate)_n_jung_W_Fischingen_TG03_NMCH.wav,Lautung,Konsonanten,Tanne (Geminate),218
344,Grüessech,jung,W,Sumiswald,BE22,BLZL,344_Grussformeln (abends)_Grüessech_jung_W_Sumiswald_BE22_BLZL.wav,Sprache im Alltag,Grussformeln,Grussformeln (abends),344
186,ìì,alt,M,Adelboden,BE02,BGTK,186_Geiss_ìì_alt_M_Adelboden_BE02_BGTK.wav,Lautung,Vokale,Geiss,186
112,Gigg,alt,W,Obersaxen,GR05,AKVO,112_Dutt_Gigg_alt_W_Obersaxen_GR05_AKVO.wav,Wortschatz,Mensch,Dutt,112
98,Britschi,jung,M,Obersaxen,GR05,BYRJ,098_Butter_Britschi_jung_M_Obersaxen_GR05_BYRJ.wav,Wortschatz,Essen und Trinken,Butter,98
154,ì-e,alt,M,Zweisimmen,BE25,TUSD,154_Schlitten_ì-e_alt_M_Zweisimmen_BE25_TUSD.wav,Lautung,Vokale,Schlitten,154
98,der-Butter,alt,M,Saas-Grund,VS05,AMHY,098_Butter_der-Butter_alt_M_Saas-Grund_VS05_AMHY.wav,Wortschatz,Essen und Trinken,Butter,98
158,u,jung,M,Bülach,ZH02,HPNB,158_Küche_u_jung_M_Bülach_ZH02_HPNB.wav,Lautung,Vokale,Küche,158
172,oe,alt,W,Oberriet,SG07,BTKD,172_Brot_oe_alt_W_Oberriet_SG07_BTKD.wav,Lautung,Vokale,Brot,172
76,Tricka,alt,M,Zermatt,VS11,KHMQ,076_Schublade_Tricka_alt_M_Zermatt_VS11_KHMQ.wav,Wortschatz,Haus und Garten,Schublade,76
78,Gusch,jung,W,Reigoldswil,BL05,WVTO,078_Sofa_Gusch_jung_W_Reigoldswil_BL05_WVTO.wav,Wortschatz,Haus und Garten,Sofa,78
256,chu,jung,W,Bosco-Gurin,TI01,FVIK,256_ich komme_chu_jung_W_Bosco-Gurin_TI01_FVIK.wav,Grammatik,Verb,ich komme,256
344,Hoi,jung,M,Aesch,BL01,AZPO,344_Grussformeln (abends)_Hoi_jung_M_Aesch_BL01_AZPO.wav,Sprache im Alltag,Grussformeln,Grussformeln (abends),344
112,Chignon,jung,W,Bosco-Gurin,TI01,FVIK,112_Dutt_Chignon_jung_W_Bosco-Gurin_TI01_FVIK.wav,Wortschatz,Mensch,Dutt,112
270,i krieg(e),jung,M,Schmitten,GR07,QVXX,270_bekommen_i krieg(e)_jung_M_Schmitten_GR07_QVXX.wav,Grammatik,Verb,bekommen,270
82,Bitzgi,jung,W,Wil,SG12,JCQC,082_Apfelüberrest_Bitzgi_jung_W_Wil_SG12_JCQC.wav,,,,0
100,Guezi,jung,M,Düdingen,FR01,VSXG,100_Bonbon_Guezi_jung_M_Düdingen_FR01_VSXG.wav,Wortschatz,Essen und Trinken,Bonbon,100
78,Ruebett(li),alt,W,Grindelwald,BE10,KCUO,078_Sofa_Ruebett(li)_alt_W_Grindelwald_BE10_KCUO.wav,Wortschatz,Haus und Garten,Sofa,78
100,Züggi,alt,W,Glarus,GL02,BDOI,100_Bonbon_Züggi_alt_W_Glarus_GL02_BDOI.wav,Wortschatz,Essen und Trinken,Bonbon,100
84,Höibe(e)ri,alt,W,Sursee,LU04,GOQI,084_Heidelbeere_Höibe(e)ri_alt_W_Sursee_LU04_GOQI.wav,Wortschatz,Essen und Trinken,Heidelbeere,84
66,Gumpe,alt,M,Schmitten,GR07,WNIY,066_Pfütze_Gumpe_alt_M_Schmitten_GR07_WNIY.wav,Wortschatz,Haus und Garten,Pfütze,66
354,'(Ist) gern geschehen',jung,W,Niederbipp,BE19,FMFX,354_Dankeserwiderung_'(Ist) gern geschehen'_jung_W_Niederbipp_BE19_FMFX.wav,Sprache im Alltag,Höflichkeit,Dankeserwiderung,354
234,nn,alt,M,Plaffeien,FR06,PDLD,234_Hund_nn_alt_M_Plaffeien_FR06_PDLD.wav,Lautung,Konsonanten,Hund,234
78,Sitzpolster,alt,M,Wollerau-Freienbach,SZ05,YDIO,078_Sofa_Sitzpolster_alt_M_Wollerau-Freienbach_SZ05_YDIO.wav,Wortschatz,Haus und Garten,Sofa,78
344,Grüezi,jung,W,Glarus,GL02,KXNF,344_Grussformeln (abends)_Grüezi_jung_W_Glarus_GL02_KXNF.wav,Sprache im Alltag,Grussformeln,Grussformeln (abends),344
172,ùe,alt,M,Jaun,FR04,MRDQ,172_Brot_ùe_alt_M_Jaun_FR04_MRDQ.wav,Lautung,Vokale,Brot,172
328,la gaa,jung,W,Sumiswald,BE22,BLZL,328_gehen lassen_la gaa_jung_W_Sumiswald_BE22_BLZL.wav,Grammatik,Satzbau,gehen lassen,328
88,Züübele,jung,M,FR06,Plaffeien,GNMQ,088_Zwiebel_Züübele_jung_M_FR06_Plaffeien_GNMQ.wav,Wortschatz,Essen und Trinken,Zwiebel,88
30,nütz,alt,W,Appenzell,AI01,XVBP,030_nichts_nütz_alt_W_Appenzell_AI01_XVBP.wav,Wortschatz,Häufige Wörter,nichts,30
284,Hündi,alt,W,Adelboden,BE02,MBKO,284_Hündchen_Hündi_alt_W_Adelboden_BE02_MBKO.wav,Grammatik,Substantiv,Hündchen,284
66,Gu(u)dle,alt,M,Chur-Masans,GR01,RLZK,066_Pfütze_Gu(u)dle_alt_M_Chur-Masans_GR01_RLZK.wav,Wortschatz,Haus und Garten,Pfütze,66
120,Chind(li),alt,W,Ebnat-Kappel,SG02,LTSZ,120_Baby_Chind(li)_alt_W_Ebnat-Kappel_SG02_LTSZ.wav,Wortschatz,Mensch,Baby,120
332,la-ne-gaa,alt,W,Frauenfeld,TG04,ACBR,332_Lass ihn gehen_la-ne-gaa_alt_W_Frauenfeld_TG04_ACBR.wav,Grammatik,Satzbau,Lass ihn gehen,332
242,Phatrick,alt,M,Gelterkinden,BL02,XPCV,242_Patrick_Phatrick_alt_M_Gelterkinden_BL02_XPCV.wav,Lautung,Konsonanten,Patrick,242
300,dich,jung,W,Fischingen,TG03,NMCH,300_dich-dir_dich_jung_W_Fischingen_TG03_NMCH.wav,Grammatik,Pronomen,dich/dir,300
92,Rööschti,jung,M,Zürich,ZH07,FNVT,092_Rösti_Rööschti_jung_M_Zürich_ZH07_FNVT.wav,Wortschatz,Essen und Trinken,Rösti,92
276,Mèè,alt,W,Diepoldsau,SG01,EAVK,276_Mann Plural_Mèè_alt_W_Diepoldsau_SG01_EAVK.wav,Grammatik,Substantiv,Mann Plural,276
112,Bolle,alt,W,Appenzell,AI01,VJUZ,112_Dutt_Bolle_alt_W_Appenzell_AI01_VJUZ.wav,Wortschatz,Mensch,Dutt,112
98,Aache,alt,W,Bosco-Gurin,TI01,GJCI,098_Butter_Aache_alt_W_Bosco-Gurin_TI01_GJCI.wav,Wortschatz,Essen und Trinken,Butter,98
28,hie,alt,M,Spiez-Faulensee,BE08,EECM,028_hier_hie_alt_M_Spiez-Faulensee_BE08_EECM.wav,Wortschatz,Häufige Wörter,hier,28
