ID,category,page,word,variant,cohort,gender,location,location_code,uid,audio
552,0,362,Vergleichstext,Lesesprache,jung,W,Engelberg OW,OW01,BJUC,362_Vergleichstext_Lesesprache_jung_W_Engelberg_OW01_BJUC.wav
553,4,72,schaukeln,reizle,jung,M,Saanen-Gstaad BE,BE20,FALC,072_schaukeln_reizle_jung_M_Saanen-Gstaad_BE20_FALC.wav
554,9,154,Schlitten,ì,jung,M,Vättis SG,SG11,BHBK,154_Schlitten_ì_jung_M_Vättis_SG11_BHBK.wav
555,3,46,Küken,Henni,alt,W,Reckingen VS,VS04,KDYB,046_Küken_Henni_alt_W_Reckingen_VS04_KDYB.wav
556,2,42,hinauf,wui,alt,M,Düdingen FR,FR01,MQDQ,042_hinauf_wui_alt_M_Düdingen_FR01_MQDQ.wav
557,14,282,"Fliege, Sonne, Kerze, Brücke","Fliege, Sonne, Kerze, Brück",alt,M oder W,Verschiedene Orte Ve,Verschiedene Kantone,Verschiedene Personen,"282_Fliege, Sonne, Kerze, Brücke_Fliege, Sonne, Kerze, Brück_alt_M oder W_Verschiedene Orte_Verschiedene Kantone_Verschiedene Personen.wav"
558,7,132,kneifen,zwiirg(g)e,jung,W,Blatten VS,VS01,GOLW,132_kneifen_zwiirg(g)e_jung_W_Blatten_VS01_GOLW.wav
559,4,60,Löwenzahn,Tätsch±,jung,W,Würenlingen AG,AG10,CRWO,060_Löwenzahn_Tätsch±_jung_W_Würenlingen_AG10_CRWO.wav
560,0,362,Vergleichstext,Lesesprache,alt,W,Maur ZH,ZH04,FZPW,362_Vergleichstext_Lesesprache_alt_W_Maur_ZH04_FZPW.wav
561,9,180,bauen,uiw,alt,M,Blatten VS,VS01,ALGD,180_bauen_uiw_alt_M_Blatten_VS01_ALGD.wav
562,9,200,tief,öi öü,alt,M,Huttwil BE,BE11,NNHI,200_tief_öi öü_alt_M_Huttwil_BE11_NNHI.wav
563,5,96,Brotanschnitt,Füdli±,jung,M,Hospental UR,UR02,ACTW,096_Brotanschnitt_Füdli±_jung_M_Hospental_UR02_ACTW.wav
564,5,86,Rande,Rande,alt,M,Zürich ZH,ZH07,KPFH,086_Rande_Rande_alt_M_Zürich_ZH07_KPFH.wav
565,5,82,Überrest eines Apfels,Bitzgi±,jung,W,Wil SG,SG12,JCQC,082_Überrest eines Apfels_Bitzgi±_jung_W_Wil_SG12_JCQC.wav
566,2,38,in-zu,im Innertaal,alt,W,Innerthal SZ,SZ02,GFKH,038_in-zu_im Innertaal_alt_W_Innerthal_SZ02_GFKH.wav
567,9,160,Tanne (Schwa),u,alt,W,Turtmann VS,VS09,SION,160_Tanne (Schwa)_u_alt_W_Turtmann_VS09_SION.wav
568,9,196,Bruder,ue,jung,M,Düdingen FR,FR01,VSXG,196_Bruder_ue_jung_M_Düdingen_FR01_VSXG.wav
569,7,130,Ohrfeige,Chleipi,alt,W,Turtmann VS,VS09,LSIS,130_Ohrfeige_Chleipi_alt_W_Turtmann_VS09_LSIS.wav
570,9,194,vier,ee,alt,W,Meiringen BE,BE17,XVXT,194_vier_ee_alt_W_Meiringen_BE17_XVXT.wav
571,20,346,Grussformeln beim Wandern,Grüezi,jung,M,Zürich ZH,ZH07,BHXO,346_Grussformeln beim Wandern_Grüezi_jung_M_Zürich_ZH07_BHXO.wav
572,9,192,heuen,aü äü,alt,M,Muotathal SZ,SZ03,AOLG,192_heuen_aü äü_alt_M_Muotathal_SZ03_AOLG.wav
573,9,174,Maus,ui,alt,W,Blatten VS,VS01,YELS,174_Maus_ui_alt_W_Blatten_VS01_YELS.wav
574,5,100,Bonbon,Schigg,alt,W,Frick AG,AG04,TSAA,100_Bonbon_Schigg_alt_W_Frick_AG04_TSAA.wav
575,16,300,dich-dir,dir,alt,W,Düdingen FR,FR01,LOHZ,300_dich-dir_dir_alt_W_Düdingen_FR01_LOHZ.wav
576,20,340,Grussformeln (mittags),Grüezi,alt,W,Maur ZH,ZH04,FZPW,340_Grussformeln (mittags)_Grüezi_alt_W_Maur_ZH04_FZPW.wav
577,13,256,ich komme,chumä,alt,M,Zermatt VS,VS11,KOOG,256_ich komme_chumä_alt_M_Zermatt_VS11_KOOG.wav
578,0,362,Vergleichstext,Lesesprache,jung,M,Burgdorf BE,BE07,GZMD,362_Vergleichstext_Lesesprache_jung_M_Burgdorf_BE07_GZMD.wav
579,7,130,Ohrfeige,Schwinta Schwinte,alt,M,Avers GR,GR11,UHFS,130_Ohrfeige_Schwinta Schwinte_alt_M_Avers_GR11_UHFS.wav
580,6,112,Dutt,Wurgeli,alt,W,Unterschächen UR,UR03,ZPGU,112_Dutt_Wurgeli_alt_W_Unterschächen_UR03_ZPGU.wav
581,0,362,Vergleichstext,Lesesprache,alt,M,Eschenbach SG,SG03,QBYH,362_Vergleichstext_Lesesprache_alt_M_Eschenbach_SG03_QBYH.wav
582,7,122,Puppe,Bääbi±,jung,M,Münchenbuchsee BE,BE18,VATG,122_Puppe_Bääbi±_jung_M_Münchenbuchsee_BE18_VATG.wav
583,9,176,Mäuse,ü,alt,M,Saanen-Gstaad BE,BE20,FRBT,176_Mäuse_ü_alt_M_Saanen-Gstaad_BE20_FRBT.wav
584,3,46,Küken,Bibi(i)±,jung,M,Grindelwald BE,BE10,FQAF,046_Küken_Bibi(i)±_jung_M_Grindelwald_BE10_FQAF.wav
585,4,68,Regenschirm,Parisool±,jung,M,Jaun FR,FR04,QOST,068_Regenschirm_Parisool±_jung_M_Jaun_FR04_QOST.wav
586,7,124,Glasmurmeln,Botschtschi,alt,M,Bosco Gurin TI,TI01,YDSB,124_Glasmurmeln_Botschtschi_alt_M_Bosco Gurin_TI01_YDSB.wav
587,9,178,schneien,èi,alt,M,Luzern LU,LU02,EFKS,178_schneien_èi_alt_M_Luzern_LU02_EFKS.wav
588,2,26,schau,lüeg,alt,M,Brig + Ried VS,VS03,WUCN,026_schau_lüeg_alt_M_Brig + Ried_VS03_WUCN.wav
589,9,150,Speck,è,alt,W,Fischingen TG,TG03,FPFX,150_Speck_è_alt_W_Fischingen_TG03_FPFX.wav
590,14,286,Bernerin,Bärneri,jung,W,Visp VS,VS10,OHPG,286_Bernerin_Bärneri_jung_W_Visp_VS10_OHPG.wav
591,7,140,Schlittschuh laufen,schlittschüen(d)le,alt,M,Winterthur ZH,ZH06,RATN,140_Schlittschuh laufen_schlittschüen(d)le_alt_M_Winterthur_ZH06_RATN.wav
592,7,130,Ohrfeige,Chlapf,jung,M,Burgdorf BE,BE07,GZMD,130_Ohrfeige_Chlapf_jung_M_Burgdorf_BE07_GZMD.wav
593,0,362,Vergleichstext,Lesesprache,alt,M,Schwarzenburg BE,BE21,QZDY,362_Vergleichstext_Lesesprache_alt_M_Schwarzenburg_BE21_QZDY.wav
594,0,362,Vergleichstext,Lesesprache,jung,W,Oberriet SG,SG07,EXRW,362_Vergleichstext_Lesesprache_jung_W_Oberriet_SG07_EXRW.wav
595,0,362,Vergleichstext,Lesesprache,jung,W,Ermatingen TG,TG02,QQKY,362_Vergleichstext_Lesesprache_jung_W_Ermatingen_TG02_QQKY.wav
596,20,346,Grussformeln beim Wandern,Grüessech,jung,W,Thun BE,BE23,EVCN,346_Grussformeln beim Wandern_Grüessech_jung_W_Thun_BE23_EVCN.wav
597,9,150,Speck,è,jung,W,Fischingen TG,TG03,VFKD,150_Speck_è_jung_W_Fischingen_TG03_VFKD.wav
598,9,184,Nase,Naase,alt,W,Gränichen AG,AG05,LVXL,184_Nase_Naase_alt_W_Gränichen_AG05_LVXL.wav
599,2,30,nichts,nünt,jung,M,Oberriet SG,SG07,EWCC,030_nichts_nünt_jung_M_Oberriet_SG07_EWCC.wav
600,5,84,Heidelbeere,Höibe(e)ri,jung,W,Marbach LU,LU03,AISI,084_Heidelbeere_Höibe(e)ri_jung_W_Marbach_LU03_AISI.wav
601,13,266,"tragen, getragen","trääge, treit träit",jung,W,Frick AG,AG04,VOZO,"266_tragen, getragen_trääge, treit träit_jung_W_Frick_AG04_VOZO.wav"
602,7,132,kneifen,zwenggu,jung,M,Brig + Ried VS,VS03,TFRP,132_kneifen_zwenggu_jung_M_Brig + Ried_VS03_TFRP.wav
603,2,42,herauf,uni,alt,W,Appenzell AI,AI01,XVBP,042_herauf_uni_alt_W_Appenzell_AI01_XVBP.wav
604,0,362,Vergleichstext,Lesesprache,jung,W,Schmitten GR,GR07,OKWW,362_Vergleichstext_Lesesprache_jung_W_Schmitten_GR07_OKWW.wav
605,20,340,Grussformeln (mittags),Tagwoll,jung,W,Brig + Ried VS,VS03,PGMA,340_Grussformeln (mittags)_Tagwoll_jung_W_Brig + Ried_VS03_PGMA.wav
606,9,198,Füsse,ie,alt,M,Ernen VS,VS02,OPGH,198_Füsse_ie_alt_M_Ernen_VS02_OPGH.wav
607,5,82,Überrest eines Apfels,Bätzi,jung,W,Langnau BE,BE15,LEGF,082_Überrest eines Apfels_Bätzi_jung_W_Langnau_BE15_LEGF.wav
608,3,56,Heuschrecke,Heustuffel,alt,W,Grindelwald BE,BE10,KCUO,056_Heuschrecke_Heustuffel_alt_W_Grindelwald_BE10_KCUO.wav
609,13,260,kommen (Plural),-e -et -e,jung,W,Langnau BE,BE15,LEGF,260_kommen (Plural)_-e -et -e_jung_W_Langnau_BE15_LEGF.wav
610,7,128,Kuss,Müntschi,alt,W,Münchenbuchsee BE,BE18,FAHE,128_Kuss_Müntschi_alt_W_Münchenbuchsee_BE18_FAHE.wav
611,6,118,urinieren,pisse,jung,M,Davos-Frauenkirch GR,GR03,DHAM,118_urinieren_pisse_jung_M_Davos-Frauenkirch_GR03_DHAM.wav
612,3,52,Eidechse,Dachlatta,jung,W,Blatten VS,VS01,YGDB,052_Eidechse_Dachlatta_jung_W_Blatten_VS01_YGDB.wav
613,10,224,folgen,fouge,alt,W,Sumiswald BE,BE22,BBCP,224_folgen_fouge_alt_W_Sumiswald_BE22_BBCP.wav
613,10,224,folgen,fouge,alt,W,Sumiswald BE,BE22,BBCP,224_folgen_fouge_alt_W_Sumiswald_BE22_BBCP.wav
614,7,130,Ohrfeige,Tschaff,jung,W,Bosco Gurin TI,TI01,FVIK,130_Ohrfeige_Tschaff_jung_W_Bosco Gurin_TI01_FVIK.wav
615,18,334,Es kommt regnen,es chunt cho rägne,jung,M,Bern BE,BE03,HFSV,334_Es kommt regnen_es chunt cho rägne_jung_M_Bern_BE03_HFSV.wav
616,3,44,Hahn,Güli,alt,M,Einsiedeln SZ,SZ01,GAUD,044_Hahn_Güli_alt_M_Einsiedeln_SZ01_GAUD.wav
617,0,362,Vergleichstext,Lesesprache,jung,W,Winterthur ZH,ZH06,UFAM,362_Vergleichstext_Lesesprache_jung_W_Winterthur_ZH06_UFAM.wav
618,6,110,Quetschfleck,(blaue) Blätz,alt,M,Jaun FR,FR04,MRDQ,110_Quetschfleck_(blaue) Blätz_alt_M_Jaun_FR04_MRDQ.wav
619,18,322,Mirjams Hut,Mirjams Huet,jung,M,Saanen-Gstaad BE,BE20,OTGL,322_Mirjams Hut_Mirjams Huet_jung_M_Saanen-Gstaad_BE20_OTGL.wav
620,2,38,in-zu,z,alt,M,Sumiswald BE,BE22,FXKN,038_in-zu_z_alt_M_Sumiswald_BE22_FXKN.wav
621,21,354,Dankeserwiderung,"'Bitte, gern geschehen'",alt,M,Bülach ZH,ZH02,AWQT,"354_Dankeserwiderung_'Bitte, gern geschehen'_alt_M_Bülach_ZH02_AWQT.wav"
622,14,274,Tanne Plural,Tannu Tanne,alt,W,Turtmann VS,VS09,SION,274_Tanne Plural_Tannu Tanne_alt_W_Turtmann_VS09_SION.wav
623,4,60,Löwenzahn,Süüblueme±,alt,M,Adelboden BE,BE02,BGTK,060_Löwenzahn_Süüblueme±_alt_M_Adelboden_BE02_BGTK.wav
624,0,362,Vergleichstext,Lesesprache,alt,W,Münchenbuchsee BE,BE18,CYKL,362_Vergleichstext_Lesesprache_alt_W_Münchenbuchsee_BE18_CYKL.wav
625,10,236,Fenster,en ìn,jung,M,Igis GR,GR04,HVLO,236_Fenster_en ìn_jung_M_Igis_GR04_HVLO.wav
626,13,262,haben (Plural),häi häind häind,alt,M,Lungern OW,OW02,BDJF,262_haben (Plural)_häi häind häind_alt_M_Lungern_OW02_BDJF.wav
627,5,94,Käsekruste,Schaba,alt,M,Lauterbrunnen BE,BE16,KDEU,094_Käsekruste_Schaba_alt_M_Lauterbrunnen_BE16_KDEU.wav
628,6,110,Quetschfleck,Blueterguss±,alt,M,Brig + Ried VS,VS03,TYEY,110_Quetschfleck_Blueterguss±_alt_M_Brig + Ried_VS03_TYEY.wav
629,10,234,Hund,ng,jung,M,Konolfingen BE,BE13,CNCW,234_Hund_ng_jung_M_Konolfingen_BE13_CNCW.wav
630,6,106,Wange,Wang,alt,M,Grindelwald BE,BE10,RVPF,106_Wange_Wang_alt_M_Grindelwald_BE10_RVPF.wav
631,4,62,begiessen,träiche,alt,W,Davos-Frauenkirch GR,GR03,NDWO,062_begiessen_träiche_alt_W_Davos-Frauenkirch_GR03_NDWO.wav
632,14,274,Tanne Plural,Tanna Tanna,alt,W,Schmitten GR,GR07,YLOG,274_Tanne Plural_Tanna Tanna_alt_W_Schmitten_GR07_YLOG.wav
633,9,180,bauen,ùu,alt,M,Bettlach SO,SO01,ZCEZ,180_bauen_ùu_alt_M_Bettlach_SO01_ZCEZ.wav
634,17,306,"drei Männer, Frauen, Kinder",drüü drüü dröü,alt,M,Teufen AR,AR02,JDKE,"306_drei Männer, Frauen, Kinder_drüü drüü dröü_alt_M_Teufen_AR02_JDKE.wav"
635,7,126,Kosewort,Schätzli±,jung,W,Zweisimmen BE,BE25,NQPL,126_Kosewort_Schätzli±_jung_W_Zweisimmen_BE25_NQPL.wav
636,20,342,Grussformeln (nachmittags),Hoi,jung,W,Oberriet SG,SG07,JASL,342_Grussformeln (nachmittags)_Hoi_jung_W_Oberriet_SG07_JASL.wav
637,13,266,"tragen, getragen","trääge, tret",alt,W,Reckingen VS,VS04,KDYB,"266_tragen, getragen_trääge, tret_alt_W_Reckingen_VS04_KDYB.wav"
638,14,280,Postauto Plural,Poschi,jung,W,Sumiswald BE,BE22,BLZL,280_Postauto Plural_Poschi_jung_W_Sumiswald_BE22_BLZL.wav
639,13,266,"tragen, getragen","trääge, gitreit",jung,W,Visp VS,VS10,CICD,"266_tragen, getragen_trääge, gitreit_jung_W_Visp_VS10_CICD.wav"
640,6,114,Schluckauf,Hixgi Hixger±,jung,M,Willisau LU,LU06,TIXC,114_Schluckauf_Hixgi Hixger±_jung_M_Willisau_LU06_TIXC.wav
641,6,110,Quetschfleck,Putsch,alt,W,Thusis GR,GR08,BKNV,110_Quetschfleck_Putsch_alt_W_Thusis_GR08_BKNV.wav
642,7,124,Glasmurmeln,Glugger,alt,W,Basel BS,BS01,EJSR,124_Glasmurmeln_Glugger_alt_W_Basel_BS01_EJSR.wav
643,9,148,Wespe,ä,jung,M,Langenthal BE,BE14,NUCN,148_Wespe_ä_jung_M_Langenthal_BE14_NUCN.wav
644,17,306,"drei Männer, Frauen, Kinder",drei drei drui,jung,W,Engelberg OW,OW01,HLFM,"306_drei Männer, Frauen, Kinder_drei drei drui_jung_W_Engelberg_OW01_HLFM.wav"
645,7,122,Puppe,Mousa,alt,M,Jaun FR,FR04,MRDQ,122_Puppe_Mousa_alt_M_Jaun_FR04_MRDQ.wav
646,9,180,bauen,ui,jung,W,Stans + Oberdorf NW,NW01,LAOE,180_bauen_ui_jung_W_Stans + Oberdorf_NW01_LAOE.wav
647,4,78,Sofa,Polstergruppe,alt,M,Frutigen BE,BE09,NPQC,078_Sofa_Polstergruppe_alt_M_Frutigen_BE09_NPQC.wav
648,20,338,Grussformeln (morgens),Tschau,jung,W,Bosco Gurin TI,TI01,MCMB,338_Grussformeln (morgens)_Tschau_jung_W_Bosco Gurin_TI01_MCMB.wav
649,9,176,Mäuse,ui,alt,W,Engelberg OW,OW01,AGAO,176_Mäuse_ui_alt_W_Engelberg_OW01_AGAO.wav
650,17,310,Migros,die,jung,W,Escholzmatt LU,LU91,GYBZ,310_Migros_die_jung_W_Escholzmatt_LU91_GYBZ.wav
651,9,198,Füsse,üä,jung,M,Muotathal SZ,SZ03,FJJI,198_Füsse_üä_jung_M_Muotathal_SZ03_FJJI.wav
652,5,100,Bonbon,Bummeli,jung,W,Laufen BL,BL03,ROPY,100_Bonbon_Bummeli_jung_W_Laufen_BL03_ROPY.wav
653,7,138,Taschentuch,Nastüechli,alt,W,Unterschächen UR,UR03,ZPGU,138_Taschentuch_Nastüechli_alt_W_Unterschächen_UR03_ZPGU.wav
654,0,362,Vergleichstext,Lesesprache,alt,W,Menziken AG,AG06,BOUD,362_Vergleichstext_Lesesprache_alt_W_Menziken_AG06_BOUD.wav
655,0,362,Vergleichstext,Lesesprache,jung,W,Horgen ZH,ZH03,GHLF,362_Vergleichstext_Lesesprache_jung_W_Horgen_ZH03_GHLF.wav
656,10,232,finden,n,alt,W,Düdingen FR,FR01,LOHZ,232_finden_n_alt_W_Düdingen_FR01_LOHZ.wav
657,0,362,Vergleichstext,Lesesprache,alt,W,Saanen-Gstaad BE,BE20,JNDD,362_Vergleichstext_Lesesprache_alt_W_Saanen-Gstaad_BE20_JNDD.wav
658,14,284,Hündchen,Hundeli,alt,W,Zweisimmen BE,BE25,JEAL,284_Hündchen_Hundeli_alt_W_Zweisimmen_BE25_JEAL.wav
659,3,52,Eidechse,Schwickerli,alt,M,Vals GR,GR09,OYUZ,052_Eidechse_Schwickerli_alt_M_Vals_GR09_OYUZ.wav
660,6,114,Schluckauf,Hitzgi Hitzger±,jung,M,Fischingen TG,TG03,AWMO,114_Schluckauf_Hitzgi Hitzger±_jung_M_Fischingen_TG03_AWMO.wav
661,18,322,Mirjams Hut,de(r) Mirjam sine Huet,jung,M,Oberriet SG,SG07,EWCC,322_Mirjams Hut_de(r) Mirjam sine Huet_jung_M_Oberriet_SG07_EWCC.wav
662,5,90,Kartoffel,Häärperu,jung,M,Bosco Gurin TI,TI01,SSQE,090_Kartoffel_Häärperu_jung_M_Bosco Gurin_TI01_SSQE.wav
663,9,146,Achse,á,jung,W,Wil SG,SG12,JCQC,146_Achse_á_jung_W_Wil_SG12_JCQC.wav
664,9,196,Bruder,ua,alt,W,Churwalden GR,GR02,IKIA,196_Bruder_ua_alt_W_Churwalden_GR02_IKIA.wav
665,5,88,Zwiebel,Zibele±,jung,W,Sumiswald BE,BE22,BLZL,088_Zwiebel_Zibele±_jung_W_Sumiswald_BE22_BLZL.wav
666,14,286,Bernerin,Bärnere,jung,M,Bern BE,BE03,HFSV,286_Bernerin_Bärnere_jung_M_Bern_BE03_HFSV.wav
667,0,362,Vergleichstext,Lesesprache,jung,M,Frutigen BE,BE09,GKBV,362_Vergleichstext_Lesesprache_jung_M_Frutigen_BE09_GKBV.wav
668,16,302,meine Cousine,mini,jung,W,Huttwil BE,BE11,TSPB,302_meine Cousine_mini_jung_W_Huttwil_BE11_TSPB.wav
669,17,318,Pult,der,alt,W,Ermatingen TG,TG02,AHQM,318_Pult_der_alt_W_Ermatingen_TG02_AHQM.wav
670,0,362,Vergleichstext,Lesesprache,alt,W,Niederbipp BE,BE19,FVTU,362_Vergleichstext_Lesesprache_alt_W_Niederbipp_BE19_FVTU.wav
671,11,248,Militär,MilitÄr,jung,W,Brugg AG,AG03,RWZQ,248_Militär_MilitÄr_jung_W_Brugg_AG03_RWZQ.wav
672,9,190,Frauen,ouw-palatalisiert,alt,M,Lauterbrunnen BE,BE16,HZVF,190_Frauen_ouw-palatalisiert_alt_M_Lauterbrunnen_BE16_HZVF.wav
673,20,340,Grussformeln (mittags),(En) Guete Mittag,jung,W,Möhlin AG,AG08,TVZQ,340_Grussformeln (mittags)_(En) Guete Mittag_jung_W_Möhlin_AG08_TVZQ.wav
674,9,200,tief,ie,jung,M,Gelterkinden BL,BL02,WTEK,200_tief_ie_jung_M_Gelterkinden_BL02_WTEK.wav
675,0,362,Vergleichstext,Lesesprache,alt,W,Brig + Ried VS,VS03,ZVDJ,362_Vergleichstext_Lesesprache_alt_W_Brig + Ried_VS03_ZVDJ.wav
676,7,132,kneifen,pfätze,alt,W,Basel BS,BS01,MOHG,132_kneifen_pfätze_alt_W_Basel_BS01_MOHG.wav
677,14,278,Bett Plural,Bette,alt,M,Spreitenbach AG,AG09,JIQI,278_Bett Plural_Bette_alt_M_Spreitenbach_AG09_JIQI.wav
678,18,334,Es kommt regnen,es chunt ga rägne,jung,W,St. Niklaus VS,VS08,EUGJ,334_Es kommt regnen_es chunt ga rägne_jung_W_St. Niklaus_VS08_EUGJ.wav
679,10,230,Darm,rum,jung,W,Bosco Gurin TI,TI01,MCMB,230_Darm_rum_jung_W_Bosco Gurin_TI01_MCMB.wav
680,0,362,Vergleichstext,Lesesprache,alt,W,Schwyz SZ,SZ04,KETC,362_Vergleichstext_Lesesprache_alt_W_Schwyz_SZ04_KETC.wav
681,13,266,"tragen, getragen","trääge, treet",jung,W,Oberriet SG,SG07,JASL,"266_tragen, getragen_trääge, treet_jung_W_Oberriet_SG07_JASL.wav"
682,4,66,Pfütze,Gunte,alt,M,Altdorf UR,UR01,EVQN,066_Pfütze_Gunte_alt_M_Altdorf_UR01_EVQN.wav
683,2,42,herauf,uecha,alt,M,Zweisimmen BE,BE25,TUSD,042_herauf_uecha_alt_M_Zweisimmen_BE25_TUSD.wav
684,2,40,nach-auf,nach,alt,M,Plaffeien FR,FR06,PDLD,040_nach-auf_nach_alt_M_Plaffeien_FR06_PDLD.wav
685,3,54,Biene,Biili,jung,W,Muotathal SZ,SZ03,OASX,054_Biene_Biili_jung_W_Muotathal_SZ03_OASX.wav
686,4,78,Sofa,Ottomane,alt,M,Adelboden BE,BE02,BGTK,078_Sofa_Ottomane_alt_M_Adelboden_BE02_BGTK.wav
687,13,262,haben (Plural),händ händ händ,alt,W,Bremgarten + Widen + Zufikon AG,AG02,WRWX,262_haben (Plural)_händ händ händ_alt_W_Bremgarten + Widen + Zufikon_AG02_WRWX.wav
688,4,78,Sofa,Ruebett(li),jung,W,Grindelwald BE,BE10,SDYX,078_Sofa_Ruebett(li)_jung_W_Grindelwald_BE10_SDYX.wav
689,7,136,plaudern,lafere,alt,M,Solothurn SO,SO04,AWLY,136_plaudern_lafere_alt_M_Solothurn_SO04_AWLY.wav
690,4,64,Giesskanne,Gspritzu,jung,M,Bosco Gurin TI,TI01,UPAW,064_Giesskanne_Gspritzu_jung_M_Bosco Gurin_TI01_UPAW.wav
691,5,94,Käsekruste,Bödeli±,alt,W,Blumenstein BE,BE05,HUYI,094_Käsekruste_Bödeli±_alt_W_Blumenstein_BE05_HUYI.wav
692,9,176,Mäuse,ui,jung,W,Engelberg OW,OW01,HLFM,176_Mäuse_ui_jung_W_Engelberg_OW01_HLFM.wav
693,2,28,hier,daa,alt,W,Bülach ZH,ZH02,NUHA,028_hier_daa_alt_W_Bülach_ZH02_NUHA.wav
694,5,90,Kartoffel,Härdöpfel±,jung,M,Langnau BE,BE15,VGMD,090_Kartoffel_Härdöpfel±_jung_M_Langnau_BE15_VGMD.wav
695,5,82,Überrest eines Apfels,Gröibschi,jung,W,Aarberg BE,BE01,TPJS,082_Überrest eines Apfels_Gröibschi_jung_W_Aarberg_BE01_TPJS.wav
696,4,72,schaukeln,gglangge,alt,M,St. Niklaus VS,VS08,BNOH,072_schaukeln_gglangge_alt_M_St. Niklaus_VS08_BNOH.wav
697,9,166,Käse,ee,alt,W,Zermatt VS,VS11,IJMG,166_Käse_ee_alt_W_Zermatt_VS11_IJMG.wav
698,2,42,herauf,u(u)fe,jung,W,Bülach ZH,ZH02,VUTP,042_herauf_u(u)fe_jung_W_Bülach_ZH02_VUTP.wav
699,4,80,Kochschürze,Vorscher,jung,M,Saas-Grund VS,VS05,GXEB,080_Kochschürze_Vorscher_jung_M_Saas-Grund_VS05_GXEB.wav
700,10,218,Tanne (Geminate),n,alt,W,Fischingen TG,TG03,FPFX,218_Tanne (Geminate)_n_alt_W_Fischingen_TG03_FPFX.wav
701,4,64,Giesskanne,Bschitter,jung,W,Zermatt VS,VS11,EBCW,064_Giesskanne_Bschitter_jung_W_Zermatt_VS11_EBCW.wav
702,13,266,"tragen, getragen","traage, trììt",jung,M,Frutigen BE,BE09,GKBV,"266_tragen, getragen_traage, trììt_jung_M_Frutigen_BE09_GKBV.wav"
703,18,328,gehen lassen,la gaa laa±,alt,M,Luzern LU,LU02,EFKS,328_gehen lassen_la gaa laa±_alt_M_Luzern_LU02_EFKS.wav
704,4,72,schaukeln,schauggle,jung,W,Schmitten GR,GR07,OKWW,072_schaukeln_schauggle_jung_W_Schmitten_GR07_OKWW.wav
705,20,338,Grussformeln (morgens),Moin,jung,W,Grindelwald BE,BE10,SDYX,338_Grussformeln (morgens)_Moin_jung_W_Grindelwald_BE10_SDYX.wav
706,6,110,Quetschfleck,Bleu(w)i±,jung,M,Zweisimmen BE,BE25,YFTY,110_Quetschfleck_Bleu(w)i±_jung_M_Zweisimmen_BE25_YFTY.wav
707,9,200,tief,äi ai,jung,W,Meiringen BE,BE17,SNDV,200_tief_äi ai_jung_W_Meiringen_BE17_SNDV.wav
708,5,88,Zwiebel,Belle,jung,M,Bosco Gurin TI,TI01,SSQE,088_Zwiebel_Belle_jung_M_Bosco Gurin_TI01_SSQE.wav
709,10,214,Rad,hinteres r,jung,M,Weinfelden TG,TG06,YNDU,214_Rad_hinteres r_jung_M_Weinfelden_TG06_YNDU.wav
710,7,140,Schlittschuh laufen,schlittschüen(d)le,jung,M,Rafz ZH,ZH05,QKJG,140_Schlittschuh laufen_schlittschüen(d)le_jung_M_Rafz_ZH05_QKJG.wav
711,9,146,Achse,a,alt,M,Sumiswald BE,BE22,EYLY,146_Achse_a_alt_M_Sumiswald_BE22_EYLY.wav
712,0,362,Vergleichstext,Lesesprache,jung,W,Vättis SG,SG11,BVDH,362_Vergleichstext_Lesesprache_jung_W_Vättis_SG11_BVDH.wav
713,0,362,Vergleichstext,Lesesprache,alt,W,Möhlin AG,AG08,JKBX,362_Vergleichstext_Lesesprache_alt_W_Möhlin_AG08_JKBX.wav
714,10,242,Patrick,Patrick,alt,M,Turtmann VS,VS09,OLBL,242_Patrick_Patrick_alt_M_Turtmann_VS09_OLBL.wav
715,9,158,Küche,ù–o,alt,M,Zweisimmen BE,BE25,TUSD,158_Küche_ù–o_alt_M_Zweisimmen_BE25_TUSD.wav
716,0,252,Sprechgeschwindigkeit,schnell,jung,M,Ernen VS,VS02,SXHP,252_Sprechgeschwindigkeit_schnell_jung_M_Ernen_VS02_SXHP.wav
717,17,306,"drei Männer, Frauen, Kinder",drii drii drii,alt,W,Reckingen VS,VS04,KDYB,"306_drei Männer, Frauen, Kinder_drii drii drii_alt_W_Reckingen_VS04_KDYB.wav"
718,4,80,Kochschürze,Fürtüechli,alt,M,Jaun FR,FR04,RSUK,080_Kochschürze_Fürtüechli_alt_M_Jaun_FR04_RSUK.wav
719,2,28,hier,hie,alt,M,Spiez Faulensee BE,BE08,EECM,028_hier_hie_alt_M_Spiez Faulensee_BE08_EECM.wav
720,4,60,Löwenzahn,Tätsch±,alt,W,Frick AG,AG04,TSAA,060_Löwenzahn_Tätsch±_alt_W_Frick_AG04_TSAA.wav
721,9,146,Achse,à,jung,W,Zürich ZH,ZH07,GDJE,146_Achse_à_jung_W_Zürich_ZH07_GDJE.wav
722,20,338,Grussformeln (morgens),Guete Morge(d),alt,W,Bülach ZH,ZH02,BNAJ,338_Grussformeln (morgens)_Guete Morge(d)_alt_W_Bülach_ZH02_BNAJ.wav
723,4,68,Regenschirm,Schärm±,alt,W,Lauterbrunnen BE,BE16,FRFQ,068_Regenschirm_Schärm±_alt_W_Lauterbrunnen_BE16_FRFQ.wav
